"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","regulation"
"WASH7P",40.3547676419556,0.0761882984869163,2.33555695178216,0.0326210407452408,0.973976790670147,0.990769493957564,"FALSE"
"MIR1302-2HG",3.03525773216429,1.00987082452262,2.18881142115925,0.461378634431544,0.64452697749756,0.810317186289429,"FALSE"
"FO538757.1",44.3858531583773,-0.189387297161768,2.3359696412686,-0.0810743829097529,0.935382798084411,0.968203247140005,"FALSE"
"AP006222.1",72.3780406279177,-0.636405119074044,2.40150805575433,-0.265002283689673,0.791007702563703,0.872326251425392,"FALSE"
"RPL23AP24",7.26182933699898,-1.42145955818618,2.36525583145812,-0.600974972466248,0.547856655992447,0.810317186289429,"FALSE"
"AL732372.2",2.88067046208807,1.47374880580367,2.42586550794089,0.607514637963014,0.543509431296462,0.810317186289429,"FALSE"
"MTND1P23",1226.85426380161,0.111630723968179,0.616849408555452,0.180969167547064,0.856391777130012,0.927103024782948,"FALSE"
"MTND2P28",4758.6739844158,0.139530286207482,0.1901786703095,0.733679996712606,0.463143792649003,0.810317186289429,"FALSE"
"MTCO1P12",29762.6780047851,-0.125058164525042,0.120572440693078,-1.03720355834367,0.299641000085025,0.810317186289429,"FALSE"
"MTCO2P12",4808.78525730019,0.531522298407514,0.223372214824869,2.37953632157986,0.0173344346008391,0.255682910362377,"FALSE"
"MTATP8P1",758.733061590352,0.311061316993962,1.07645754945744,0.288967565094178,0.772606198505057,0.864264542600322,"FALSE"
"MTATP6P1",8183.19646675284,0.0785139000922704,0.147821636990456,0.531139430537762,0.595322161878387,0.810317186289429,"FALSE"
"MTCO3P12",5946.9827248322,-0.333652053789544,0.186675440661744,-1.78733770552133,0.0738829233501841,0.343183581666932,"FALSE"
"AL669831.1",15.1232658253732,-0.982286831500494,2.40931330895898,-0.407704065655506,0.683490952246979,0.810317186289429,"FALSE"
"AL669831.5",15.7109681782587,-1.7552096775268,2.82142653330101,-0.62210008193027,0.533876061112259,0.810317186289429,"FALSE"
"AL669831.4",2.75035037754339,-3.39372550675143,2.60802220765838,-1.30126403708751,0.193168092533864,0.651252426257027,"FALSE"
"LINC01128",35.0199310982552,-1.0196351941878,2.84424460521337,-0.358490684070861,0.719976138297644,0.832913571756098,"FALSE"
"LINC00115",5.3067718048155,0.184443629452824,2.99936392638741,0.0614942481071238,0.950965595084416,0.975773393217053,"FALSE"
"TUBB8P11",4.02427992222388,-2.10910444224768,2.5373317274104,-0.831229286838355,0.405844113068279,0.810317186289429,"FALSE"
"SAMD11",10.4676316792804,-6.97156650509115,3.15454650004153,-2.21000594063183,0.0271047500045411,0.277497713706426,"FALSE"
"NOC2L",126.492567896441,-1.83338988740612,2.81789941144518,-0.650622900150241,0.515289944018621,0.810317186289429,"FALSE"
"KLHL17",34.4474375738225,-2.69147695793597,2.79360152012728,-0.963443403987463,0.335325053345746,0.810317186289429,"FALSE"
"HES4",5.29107418531177,-5.98705847096889,2.94777427795587,-2.03104373212749,0.0422505585413181,0.328879820849698,"FALSE"
"ISG15",31.7746036639973,-2.97361760088743,2.77827280339027,-1.0703115969241,0.284479076125684,0.810317186289429,"FALSE"
"AL645608.4",35.6519442538045,-1.51292943138568,2.82882243117227,-0.534826581800938,0.592769780125788,0.810317186289429,"FALSE"
"AGRN",231.072112785192,-1.95689623660134,3.10620428287113,-0.629995988155852,0.528697209047711,0.810317186289429,"FALSE"
"C1orf159",14.3595221658601,-1.44972643216327,2.83830070908231,-0.510772670254518,0.609510248261726,0.810317186289429,"FALSE"
